Ticker,Last Trade,First Notice,First Delivery,Last Delivery,Settle Price
BEV15 Index,2015-10-16,2015-10-16,10/19/15,2015-10-19,
BEX15 Index,2015-11-20,2015-11-20,11/23/15,2015-11-23,3711.25
BEZ15 Index,2015-12-18,2015-12-18,12/21/15,2015-12-21,3655.5
BEF16 Index,2016-01-15,2016-01-15,01/18/16,2016-01-18,3366.53
BEG16 Index,2016-02-19,2016-02-19,02/22/16,2016-02-22,3318.9
BEH16 Index,2016-03-18,2016-03-18,03/21/16,2016-03-21,3423.02
BEJ16 Index,2016-04-15,2016-04-15,04/18/16,2016-04-18,3458.19
BEK16 Index,2016-05-20,2016-05-20,05/23/16,2016-05-23,3386.21
BEM16 Index,2016-06-17,2016-06-17,06/20/16,2016-06-20,3336.89
BEN16 Index,2016-07-15,2016-07-15,07/18/16,2016-07-18,3408.85
BEQ16 Index,2016-08-19,2016-08-19,08/22/16,2016-08-22,3488.67
BEU16 Index,2016-09-16,2016-09-16,09/19/16,2016-09-19,3508.84
BEV16 Index,2016-10-21,2016-10-21,10/24/16,2016-10-24,3581.79
BEX16 Index,2016-11-18,2016-11-18,11/21/16,2016-11-21,3435.53
BEZ16 Index,2016-12-16,2016-12-16,12/19/16,2016-12-19,3589.24
BEF17 Index,2017-01-20,2017-01-20,01/23/17,2017-01-23,3598.36
BEG17 Index,2017-02-17,2017-02-17,02/20/17,2017-02-20,3600.47
BEH17 Index,2017-03-17,2017-03-17,03/20/17,2017-03-20,3785.82
BEJ17 Index,2017-04-21,2017-04-21,04/24/17,2017-04-24,3771.96
BEK17 Index,2017-05-19,2017-05-19,05/22/17,2017-05-22,3947.5
BEM17 Index,2017-06-16,2017-06-16,06/19/17,2017-06-19,3906.01
BEN17 Index,2017-07-21,2017-07-21,07/24/17,2017-07-24,3880.23
BEQ17 Index,2017-08-18,2017-08-18,08/21/17,2017-08-21,3900.5
BEU17 Index,2017-09-15,2017-09-15,09/18/17,2017-09-18,3969.66
BEV17 Index,2017-10-20,2017-10-20,10/23/17,2017-10-23,4078.3
BEX17 Index,2017-11-17,2017-11-17,11/20/17,2017-11-20,3944.22
BEZ17 Index,2017-12-15,2017-12-15,12/18/17,2017-12-18,3978.44
BEF18 Index,2018-01-19,2018-01-19,01/22/18,2018-01-22,4162.24
BEG18 Index,2018-02-16,2018-02-16,02/19/18,2018-02-19,3939.54
BEH18 Index,2018-03-16,2018-03-16,03/19/18,2018-03-19,3970.76
BEJ18 Index,2018-04-20,2018-04-20,04/23/18,2018-04-23,3919.31
BEK18 Index,2018-05-18,2018-05-18,05/21/18,2018-05-21,3900.03
BEM18 Index,2018-06-15,2018-06-15,06/18/18,2018-06-18,3815.05
BEN18 Index,2018-07-20,2018-07-20,07/23/18,2018-07-23,3808.52
BEQ18 Index,2018-08-17,2018-08-17,08/20/18,2018-08-20,3755.49
BEU18 Index,2018-09-21,2018-09-21,09/24/18,2018-09-24,3781.87
BEV18 Index,2018-10-19,2018-10-19,10/22/18,2018-10-22,3524.73
BEX18 Index,2018-11-16,2018-11-16,11/19/18,2018-11-19,3514.97
BEZ18 Index,2018-12-21,2018-12-21,12/24/18,2018-12-24,3228.38
BEF19 Index,2019-01-18,2019-01-18,01/21/19,2019-01-21,3471.98
BEG19 Index,2019-02-15,2019-02-15,02/18/19,2019-02-18,3563.71
BEH19 Index,2019-03-15,2019-03-15,03/18/19,2019-03-18,3627.34
BEJ19 Index,2019-04-18,2019-04-18,04/23/19,2019-04-23,3862.53
BEK19 Index,2019-05-17,2019-05-17,05/20/19,2019-05-20,3505.31
BEM19 Index,2019-06-21,2019-06-21,06/24/19,2019-06-24,3502.15
BEN19 Index,2019-07-19,2019-07-19,07/22/19,2019-07-22,3653.95
BEQ19 Index,2019-08-16,2019-08-16,08/19/19,2019-08-19,3477.89
BEU19 Index,2019-09-20,2019-09-20,09/23/19,2019-09-23,3727.55
BEV19 Index,2019-10-18,2019-10-18,10/21/19,2019-10-21,3766.13
BEX19 Index,2019-11-15,2019-11-15,11/18/19,2019-11-18,3882.12
BEZ19 Index,2019-12-20,2019-12-20,12/23/19,2019-12-23,
BEF20 Index,2020-01-17,2020-01-17,01/20/20,2020-01-20,
BEG20 Index,2020-02-21,2020-02-21,02/24/20,2020-02-24,
BEH20 Index,2020-03-20,2020-03-20,03/23/20,2020-03-23,
BEJ20 Index,2020-04-17,2020-04-17,04/20/20,2020-04-20,
BEK20 Index,2020-05-15,2020-05-15,05/18/20,2020-05-18,
BEM20 Index,2020-06-19,2020-06-19,06/22/20,2020-06-22,
BEN20 Index,2020-07-17,2020-07-17,07/20/20,2020-07-20,
BEQ20 Index,2020-08-21,2020-08-21,08/24/20,2020-08-24,
BEU20 Index,2020-09-18,2020-09-18,09/21/20,2020-09-21,
BEV20 Index,2020-10-16,2020-10-16,10/19/20,2020-10-19,3253.67
BEX20 Index,2020-11-20,2020-11-20,11/23/20,2020-11-23,3582.07
BEZ20 Index,2020-12-18,2020-12-18,12/21/20,2020-12-21,3664.15
BEF21 Index,2021-01-15,2021-01-15,01/18/21,2021-01-18,3722.35
BEG21 Index,2021-02-19,2021-02-19,02/22/21,2021-02-22,3835.46
