Ticker,Last Trade,First Notice,First Delivery,Last Delivery,Settle Price
PPZ16 Index,2016-12-16,2016-12-16,12/19/16,2016-12-19,4628.05
PPH17 Index,2017-03-17,2017-03-17,03/17/17,2017-03-17,4613.88
PPM17 Index,2017-06-16,2017-06-16,06/16/17,2017-06-16,5273.98
PPU17 Index,2017-09-15,2017-09-15,09/15/17,2017-09-15,5201.88
PPZ17 Index,2017-12-15,2017-12-15,12/15/17,2017-12-15,5385.63
PPH18 Index,2018-03-16,2018-03-16,03/16/18,2018-03-16,5435.94
PPM18 Index,2018-06-15,2018-06-15,06/15/18,2018-06-15,5569.17
PPU18 Index,2018-09-21,2018-09-21,09/21/18,2018-09-21,5345.85
PPZ18 Index,2018-12-21,2018-12-21,12/21/18,2018-12-21,4649.97
PPH19 Index,2019-03-15,2019-03-15,03/15/19,2019-03-15,5240.0
PPM19 Index,2019-06-21,2019-06-21,06/21/19,2019-06-21,5126.26
PPU19 Index,2019-09-20,2019-09-20,09/20/19,2019-09-20,5016.35
PPZ19 Index,2019-12-20,2019-12-20,12/20/19,2019-12-20,
PPH20 Index,2020-03-20,2020-03-20,03/20/20,2020-03-20,
PPM20 Index,2020-06-19,2020-06-19,06/19/20,2020-06-19,
PPU20 Index,2020-09-18,2020-09-18,09/18/20,2020-09-18,
PPZ20 Index,2020-12-18,2020-12-18,12/18/20,2020-12-18,4763.03
PPH21 Index,2021-03-19,2021-03-19,03/19/21,2021-03-19,4848.22
PPM21 Index,2021-06-18,2021-06-18,06/18/21,2021-06-18,5063.87
PPU21 Index,2021-09-17,2021-09-17,09/17/21,2021-09-17,5299.37
PPZ21 Index,2021-12-17,2021-12-17,12/17/21,2021-12-17,5439.93
PPH22 Index,2022-03-18,2022-03-18,03/18/22,2022-03-18,5692.63
PPM22 Index,2022-06-17,2022-06-17,06/17/22,2022-06-17,5881.75
PPU22 Index,2022-09-16,2022-09-16,09/16/22,2022-09-16,5845.51
PPZ22 Index,2022-12-16,2022-12-16,12/16/22,2022-12-16,5689.36
PPH23 Index,2023-03-17,2023-03-17,03/17/23,2023-03-17,5724.12
PPM23 Index,2023-06-16,2023-06-16,06/16/23,2023-06-16,6075.98
PPU23 Index,2023-09-15,2023-09-15,09/15/23,2023-09-15,6203.91
PPZ23 Index,2023-12-15,2023-12-15,12/15/23,2023-12-15,6426.97
PPH24 Index,2024-03-15,2024-03-15,03/15/24,2024-03-15,6130.85
PPM4 Index,2024-06-21,2024-06-21,06/21/24,2024-06-21,6570.47
PPU4 Index,2024-09-20,2024-09-20,09/20/24,2024-09-20,6716.23
PPZ4 Index,2024-12-20,2024-12-20,12/20/24,2024-12-20,6276.75
PPH5 Index,2025-03-21,2025-03-21,03/21/25,2025-03-21,6797.55
PPM5 Index,2025-06-20,2025-06-20,06/20/25,2025-06-20,6708.0
PPU5 Index,2025-09-19,2025-09-19,09/19/25,2025-09-19,6727.0
PPZ5 Index,2025-12-19,2025-12-19,12/19/25,2025-12-19,6747.0
PPH6 Index,2026-03-20,2026-03-20,03/20/26,2026-03-20,6776.0
