Ticker,Last Trade,First Notice,First Delivery,Last Delivery,Settle Price
AJX19 Index,2019-11-15,2019-11-15,11/15/19,2019-11-15,2213.3
AJZ19 Index,2019-12-20,2019-12-20,12/20/19,2019-12-20,2234.97
AJF20 Index,2020-01-17,2020-01-17,01/17/20,2020-01-17,2320.38
AJG20 Index,2020-02-21,2020-02-21,02/21/20,2020-02-21,2254.95
AJH20 Index,2020-03-20,2020-03-20,03/20/20,2020-03-20,1335.13
AJJ20 Index,2020-04-16,2020-04-16,04/16/20,2020-04-16,1464.98
AJK20 Index,2020-05-15,2020-05-15,05/15/20,2020-05-15,1424.06
AJM20 Index,2020-06-19,2020-06-19,06/19/20,2020-06-19,1611.34
AJN20 Index,2020-07-17,2020-07-17,07/17/20,2020-07-17,1546.97
AJQ20 Index,2020-08-21,2020-08-21,08/21/20,2020-08-21,1521.54
AJU20 Index,2020-09-18,2020-09-18,09/18/20,2020-09-18,1573.32
AJV20 Index,2020-10-16,2020-10-16,10/16/20,2020-10-16,1463.1
AJX20 Index,2020-11-20,2020-11-20,11/20/20,2020-11-20,1669.52
AJZ20 Index,2020-12-18,2020-12-18,12/18/20,2020-12-18,1905.58
AJF21 Index,2021-01-15,2021-01-15,01/15/21,2021-01-15,1868.58
AJG21 Index,2021-02-19,2021-02-19,02/19/21,2021-02-19,1853.89
AJH21 Index,2021-03-19,2021-03-19,03/19/21,2021-03-19,2011.38
AJJ21 Index,2021-04-16,2021-04-16,04/16/21,2021-04-16,2196.98
AJK21 Index,2021-05-21,2021-05-21,05/21/21,2021-05-21,2048.35
AJM21 Index,2021-06-18,2021-06-18,06/18/21,2021-06-18,2210.86
AJN21 Index,2021-07-16,2021-07-16,07/16/21,2021-07-16,2072.11
AJQ21 Index,2021-08-20,2021-08-20,08/20/21,2021-08-20,2107.64
AJU21 Index,2021-09-17,2021-09-17,09/17/21,2021-09-17,2189.6
AJV21 Index,2021-10-15,2021-10-15,10/15/21,2021-10-15,2148.67
AJX21 Index,2021-11-19,2021-11-19,11/19/21,2021-11-19,2200.44
AJZ21 Index,2021-12-17,2021-12-17,12/17/21,2021-12-17,2133.27
AJF22 Index,2022-01-21,2022-01-21,01/21/22,2022-01-21,2295.77
AJG22 Index,2022-02-18,2022-02-18,02/18/22,2022-02-18,2339.85
AJH22 Index,2022-03-18,2022-03-18,03/18/22,2022-03-18,2056.43
AJJ22 Index,2022-04-14,2022-04-15,04/15/22,2022-04-15,2242.26
AJK22 Index,2022-05-20,2022-05-20,05/20/22,2022-05-20,2068.48
AJM22 Index,2022-06-17,2022-06-17,06/17/22,2022-06-17,2009.64
AJN22 Index,2022-07-15,2022-07-15,07/15/22,2022-07-15,1920.85
AJQ22 Index,2022-08-19,2022-08-19,08/19/22,2022-08-19,2180.59
AJU22 Index,2022-09-16,2022-09-16,09/16/22,2022-09-16,2014.27
AJV22 Index,2022-10-21,2022-10-21,10/21/22,2022-10-21,2061.29
AJX22 Index,2022-11-18,2022-11-18,11/18/22,2022-11-18,2165.47
AJZ22 Index,2022-12-16,2022-12-16,12/16/22,2022-12-16,2194.64
AJF23 Index,2023-01-20,2023-01-20,01/20/23,2023-01-20,2359.44
AJG23 Index,2023-02-17,2023-02-17,02/17/23,2023-02-17,2657.46
AJH23 Index,2023-03-17,2023-03-17,03/17/23,2023-03-17,2548.89
AJJ23 Index,2023-04-21,2023-04-21,04/21/23,2023-04-21,2694.9
AJK23 Index,2023-05-19,2023-05-19,05/19/23,2023-05-19,2773.25
