Ticker,Last Trade,First Notice,First Delivery,Last Delivery,Settle Price
CFJ15 Index,2015-04-17,2015-04-17,04/20/15,2015-04-20,
CFK15 Index,2015-05-15,2015-05-15,05/18/15,2015-05-18,
CFM15 Index,2015-06-19,2015-06-19,06/22/15,2015-06-22,
CFN15 Index,2015-07-17,2015-07-17,07/20/15,2015-07-20,
CFQ15 Index,2015-08-21,2015-08-21,08/24/15,2015-08-24,
CFU15 Index,2015-09-18,2015-09-18,09/21/15,2015-09-21,
CFV15 Index,2015-10-16,2015-10-16,10/19/15,2015-10-19,
CFX15 Index,2015-11-20,2015-11-20,11/23/15,2015-11-23,4926.4
CFZ15 Index,2015-12-18,2015-12-18,12/21/15,2015-12-21,4636.1
CFF16 Index,2016-01-15,2016-01-15,01/18/16,2016-01-18,4202.9
CFG16 Index,2016-02-19,2016-02-19,02/22/16,2016-02-22,4198.8
CFH16 Index,2016-03-18,2016-03-18,03/21/16,2016-03-21,4460.6
CFJ16 Index,2016-04-15,2016-04-15,04/18/16,2016-04-18,4502.5
CFK16 Index,2016-05-20,2016-05-20,05/23/16,2016-05-23,4343.5
CFM16 Index,2016-06-17,2016-06-17,06/20/16,2016-06-20,4190.6
CFN16 Index,2016-07-15,2016-07-15,07/18/16,2016-07-18,4367.5
CFQ16 Index,2016-08-19,2016-08-19,08/22/16,2016-08-22,4378.6
CFU16 Index,2016-09-16,2016-09-16,09/19/16,2016-09-19,4326.6
CFV16 Index,2016-10-21,2016-10-21,10/24/16,2016-10-24,4520.9
CFX16 Index,2016-11-18,2016-11-18,11/21/16,2016-11-21,4502.6
CFZ16 Index,2016-12-16,2016-12-16,12/19/16,2016-12-19,4838.3
CFF17 Index,2017-01-20,2017-01-20,01/20/17,2017-01-20,4860.5
CFG17 Index,2017-02-17,2017-02-17,02/17/17,2017-02-17,4849.7
CFH17 Index,2017-03-17,2017-03-17,03/17/17,2017-03-17,5022.1
CFJ17 Index,2017-04-21,2017-04-21,04/21/17,2017-04-21,5066.6
CFK17 Index,2017-05-19,2017-05-19,05/19/17,2017-05-19,5315.1
CFM17 Index,2017-06-16,2017-06-16,06/16/17,2017-06-16,5242.3
CFN17 Index,2017-07-21,2017-07-21,07/21/17,2017-07-21,5123.9
CFQ17 Index,2017-08-18,2017-08-18,08/18/17,2017-08-18,5086.9
CFU17 Index,2017-09-15,2017-09-15,09/15/17,2017-09-15,5209.2
CFV17 Index,2017-10-20,2017-10-20,10/20/17,2017-10-20,5374.0
CFX17 Index,2017-11-17,2017-11-17,11/17/17,2017-11-17,5311.9
CFZ17 Index,2017-12-15,2017-12-15,12/15/17,2017-12-15,5337.7
CFF18 Index,2018-01-19,2018-01-19,01/19/18,2018-01-19,5527.0
CFG18 Index,2018-02-16,2018-02-16,02/16/18,2018-02-16,5271.2
